,Linear Regression,CART,ORT,RuleFit,ORRFA,True Model
0,0.8924004783959597,0.6992581954519439,0.6876421812480815,0.8901673332817204,0.8898749570762463,0.8958035446039376
1,0.8542483346750724,0.6513391774566872,0.6543673983461173,0.8535984581575111,0.8525384666815159,0.853058893965922
2,0.8383259909933857,0.667555664230924,0.6631813181656581,0.8376260529216848,0.8371865308367291,0.8383092317347551
3,0.869645443753226,0.6692767315889971,0.6884477693993762,0.8684193372813214,0.8670478582700816,0.8699191437377524
4,0.8623408673829946,0.7292346729973707,0.7422205334217209,0.8633537685907953,0.8641469789306939,0.8643534986467776
5,0.8628876078964282,0.6504553544924758,0.6527088157685308,0.8598150605659927,0.860406472948396,0.8611499109920338
6,0.8532600549236772,0.6717347792274251,0.6676545305007477,0.8517738463795433,0.8512435855005649,0.8529452663450509
7,0.8826954000614392,0.7182642793477976,0.7003720162274639,0.8801201597631213,0.8800415846771243,0.8827250425540862
8,0.8422396716156627,0.6396394485240022,0.6435443964800542,0.8421132622467467,0.8411668057878144,0.8433093890463323
9,0.8417116234067695,0.6599782388823983,0.6679460081145854,0.8394605811467786,0.8403858983347445,0.8435277853779214
10,0.8626788129009969,0.6574817719394925,0.6712788608216014,0.8634302208234798,0.8624336670882666,0.865178649351129
11,0.8421867856626217,0.6494568656105191,0.6582298122399599,0.8416456722561861,0.841648569123566,0.846550541455371
12,0.8698440853709264,0.699886586928658,0.6929828026754075,0.8684874102560927,0.8687672838431386,0.870491091808832
13,0.8627317827456911,0.6488829521310446,0.6631407682311397,0.8600301039121357,0.8609805731084716,0.8636309538634693
14,0.8602831292235152,0.6829834378580302,0.6763877020663511,0.8613088902360038,0.85946077421144,0.8619611286232227
15,0.8593074289123597,0.6755892273949737,0.6921090489117345,0.8588099783968608,0.8597640592679661,0.858451424695515
16,0.8735933266602732,0.7189280375030593,0.7026154148758796,0.8718946099676921,0.8715857045693259,0.8728793474728831
17,0.875406759813575,0.7125863923338804,0.6921711747348074,0.8761443085763805,0.8764158858502819,0.8754420654365002
18,0.874292704415226,0.6768715149908957,0.6796092265578577,0.8756076580733503,0.8736971654965786,0.8741103660131656
19,0.8548589324473923,0.6839761773161475,0.6416386282881036,0.8540703075680303,0.8496431694854816,0.855939447687164
20,0.8533864302359674,0.6825390085181167,0.6863131641651254,0.853790814003083,0.8535884321225667,0.8533447192227273
21,0.8806087759211342,0.7325414287134571,0.7312845291805659,0.8791313404251404,0.8793498995547864,0.8810800356105107
22,0.8380292000420635,0.6377497786451907,0.6361203231141583,0.8371740380189596,0.8371305977576495,0.8389132924503102
23,0.8144933032937273,0.6526675087629858,0.6456446543973189,0.8110584751471174,0.8141474945870424,0.8180328886700117
24,0.8260540958226479,0.6282900362727794,0.6298510776076364,0.8253676195636014,0.825532979804002,0.8266514293895527
25,0.8765409705371227,0.6787644862929192,0.6436829863724607,0.876009916219658,0.8735705149367534,0.8789397726648861
26,0.8409787628910622,0.6741665141191875,0.6536444893748798,0.8412712173151728,0.8392754421524112,0.8414552508919247
27,0.8609062015613749,0.6346026426239952,0.6334332463199096,0.8578301191238813,0.8569366642646258,0.8618118918408011
28,0.8603555818388441,0.6935576150835967,0.697124008356229,0.8586730040654316,0.857279941699024,0.8630342706771917
29,0.872424952389631,0.6882763611855842,0.6861294407196188,0.8735244150035404,0.8731728622125672,0.8729214890532946
30,0.8703698528316008,0.6458760041066939,0.6523596833911289,0.867223634468998,0.8638985651118893,0.8714365769809357
31,0.8795068614907509,0.7005806180102866,0.7046554089248965,0.8793254816825231,0.8799720882478284,0.8796747264494158
32,0.839207782344493,0.6703784736156103,0.6803167242747936,0.8379227033936865,0.8387989901410942,0.8396839770979868
33,0.8587758061311319,0.6857334399881327,0.6940776874867371,0.8574108292124425,0.8572634266909034,0.8624365487662433
34,0.8611414136268524,0.7149728119090399,0.6670526733362356,0.8604799604903852,0.8604812873609211,0.863434387013792
35,0.8575584812561731,0.6635591848863642,0.7030912977197847,0.8548694272212227,0.8575804320452702,0.8621878887691713
36,0.8854021559410532,0.6569803921435646,0.6783897246123926,0.8833552136208844,0.8832896067868735,0.8853327004673057
37,0.8493112926583908,0.6702495404179745,0.6696912945152004,0.8500546609585392,0.8473616523518857,0.8514149068492082
38,0.8342173923377061,0.6557233029532477,0.630646655539238,0.8318038531030363,0.8332995515231287,0.83607339850302
39,0.8545018435926873,0.693501698023456,0.692787319473289,0.8546333841371723,0.8549415198855603,0.8547212026560889
40,0.8759795086594098,0.6786571551780649,0.6803679718351883,0.8745555431646426,0.8733590801566081,0.8762863474246116
41,0.8788049476332692,0.6922673825059421,0.6768804509406889,0.8778750840496321,0.876977672557262,0.8801336041234303
42,0.8544197774214783,0.6780869606983312,0.6720493845433433,0.8536537978599195,0.8530349396418853,0.8539242502077066
43,0.8868006493235594,0.6912823686867619,0.6996544940342302,0.8866282547438157,0.8871428383245921,0.8855255470384206
44,0.8541549117653371,0.6630618128106669,0.6514840090727817,0.8527873791564792,0.8518539413710808,0.8519039064885874
45,0.8640281708052322,0.7031865857137006,0.691931756879645,0.8644601210120982,0.8635512761665016,0.8641647577469628
46,0.8673449019882339,0.6882885805457273,0.6896519205099816,0.8668970188970271,0.867002812682456,0.8684733313276555
47,0.8647825837020113,0.6557527889927786,0.6504622526173113,0.8637870628768118,0.8626184015008489,0.8659759934731035
48,0.8401706211340911,0.6097538872678444,0.6384908338325175,0.8376570169633714,0.8400404284999837,0.842201811593807
49,0.8537828679020512,0.6621482494539985,0.6919342915030897,0.8539650244647143,0.8558284292149204,0.853840530216518
